lnwage	grade	exp	union
2.331172	8	22	0
1.504077	14	2	0
3.911523	16	22	0
2.197225	8	34	1
2.788093	9	47	0
2.351375	9	32	0
2.290006	14	14	0
3.140914	14	32	0
2.397895	9	17	0
2.169054	16	19	0
2.302585	14	15	1
2.327845	13	12	0
2.302585	12	29	0
2.116256	12	8	0
1.727221	12	19	0
2.617396	12	15	1
2.525729	12	8	0
2.70805	16	8	0
2.418144	15	18	0
2.463853	14	24	0
2.237513	14	13	0
2.639057	12	22	1
2.079442	12	23	1
1.704748	12	1	0
1.658228	12	22	0
2.70805	12	14	0
1.609438	16	5	0
3.218876	16	24	0
2.397895	15	22	0
1.536867	12	11	0
1.832582	12	44	0
1.609438	14	18	0
3.352407	18	31	1
2.014903	12	25	0
3.167583	13	40	0
2.772589	12	22	0
2.397895	12	16	0
3.675634	18	31	0
2.332144	12	8	0
2.580217	12	37	1
2.890372	16	31	0
2.688528	12	37	1
2.525729	12	41	0
2.484907	14	11	0
2.051556	5	53	0
2.674149	12	28	1
2.014903	12	10	0
2.397895	9	48	0
1.783391	12	11	0
2.253795	17	18	0
2.302585	12	16	1
2.525729	16	21	1
2.230264	16	16	0
2.590267	13	41	0
2.224623	12	14	0
2.302585	18	2	0
1.974081	12	41	0
1.871802	9	21	0
2.757475	10	33	0
1.609438	10	6	0
2.788093	16	5	0
2.772589	12	14	1
1.658228	12	4	0
1.252763	13	2	0
3.29193	12	30	0
2.70805	17	16	0
3.095578	13	39	0
1.609438	12	5	0
2.772589	14	18	1
1.20896	12	2	0
2.995732	14	13	0
2.034706	7	46	0
2.014903	12	6	0
2.034706	12	21	0
2.711378	12	21	1
1.871802	12	5	0
2.140066	14	7	0
3.218876	16	5	0
2.397895	16	16	0
2.014903	13	10	0
1.252763	13	3	0
2.862201	12	9	1
2.063693	13	21	1
4.174387	12	43	0
2.621039	12	10	0
1.871802	7	36	0
2.772589	14	10	0
2.995732	10	8	0
2.639057	12	19	0
2.442347	5	52	0
1.20896	12	4	0
1.20896	11	3	0
3.135494	12	17	1
2.302585	12	15	0
1.504077	6	14	0
2.647946	12	37	0
2.484907	12	22	1
2.70805	16	11	1
1.449589	18	8	0
2.711378	12	16	1
