year Q      p         z        y
1947 Q1 0.1480947  7.655984 162.4753
1947 Q2 0.1525295  7.460206 162.7677
1947 Q3 0.1564547  7.633841 163.0325
1947 Q4 0.1632284  7.508182 158.7749
1948 Q1 0.1713221  7.596682 155.9854
1948 Q2 0.1744484  7.826241 155.9548
1948 Q3 0.1746800  7.949759 162.5091
1948 Q4 0.1751779  7.936529 162.7882
1949 Q1 0.1762200  7.738473 162.0659
1949 Q2 0.1780263  7.733174 166.2354
1949 Q3 0.1782579  7.744986 166.7447
1949 Q4 0.1777484  7.760417 166.8950
1950 Q1 0.1769611  8.304829 165.3692
1950 Q2 0.1764400  8.226707 172.3403
1950 Q3 0.1780379  8.318918 173.2756
1950 Q4 0.1798789  8.364108 171.3857
1951 Q1 0.1814537  8.327464 184.1794
1951 Q2 0.1814653  8.428225 187.4433
1951 Q3 0.1801916  8.443956 195.1072
1951 Q4 0.1828432  8.420802 196.3891
1952 Q1 0.1844526  8.383483 197.3130
1952 Q2 0.1850200  8.451648 200.2205
1952 Q3 0.1858305  8.579111 205.5203
1952 Q4 0.1853095  8.706491 209.0162
1953 Q1 0.1876600  8.793051 208.4879
1953 Q2 0.1900105  8.883153 206.6038
1953 Q3 0.1957305  8.806411 204.9956
1953 Q4 0.1985674  8.709936 199.7851
1954 Q1 0.1985211  8.721164 201.3812
1954 Q2 0.1982316  8.685295 201.0344
1954 Q3 0.1963789  8.739373 206.2636
1954 Q4 0.1955800  8.867561 212.1693
1955 Q1 0.1969116  8.960467 214.0029
1955 Q2 0.1984747  9.136825 218.1200
1955 Q3 0.2005705  9.266994 217.2007
1955 Q4 0.2011147  9.326590 222.3606
1956 Q1 0.2016589  9.380944 225.4734
1956 Q2 0.2027358  9.435334 227.2993
1956 Q3 0.2077263  9.431143 220.3310
1956 Q4 0.2090116  9.533502 226.6154
1957 Q1 0.2134347  9.510745 227.2983
1957 Q2 0.2154958  9.533979 222.0045
1957 Q3 0.2138863  9.537872 229.2213
1957 Q4 0.2138863  9.440866 228.0557
1958 Q1 0.2159705  9.318607 229.5942
1958 Q2 0.2107600  9.343369 242.8072
1958 Q3 0.2131337  9.492652 242.6613
1958 Q4 0.2084674  9.564845 251.3659
1959 Q1 0.2100074  9.591866 254.6204
1959 Q2 0.2132958  9.738184 252.4553
1959 Q3 0.2150789  9.688361 249.3978
1959 Q4 0.2219568  9.722440 244.1702
1960 Q1 0.2183674  9.756586 247.7984
1960 Q2 0.2183905  9.769595 259.2822
1960 Q3 0.2240526  9.734171 248.0031
1960 Q4 0.2243653  9.681445 246.6248
1961 Q1 0.2223042  9.733127 248.1864
1961 Q2 0.2143379  9.843076 262.1966
1961 Q3 0.2206484  9.935742 251.8093
1961 Q4 0.2192011 10.089024 253.9451
1962 Q1 0.2183326 10.150200 262.1677
1962 Q2 0.2204400 10.225936 260.9297
1962 Q3 0.2189000 10.243091 264.2394
1962 Q4 0.2243305 10.285592 261.1545
1963 Q1 0.2219337 10.334627 266.0271
1963 Q2 0.2174874 10.398293 274.4041
1963 Q3 0.2204747 10.475081 268.1864
1963 Q4 0.2199537 10.609260 271.6959
1964 Q1 0.2193979 10.791081 279.9835
1964 Q2 0.2176147 11.050324 287.3905
1964 Q3 0.2173484 11.154918 292.2422
1964 Q4 0.2197453 11.244027 287.7704
1965 Q1 0.2239484 11.336817 284.8124
1965 Q2 0.2266463 11.430250 289.1397
1965 Q3 0.2275495 11.705292 290.8310
1965 Q4 0.2290432 11.902458 295.0620
1966 Q1 0.2290663 11.983368 300.7030
1966 Q2 0.2293905 11.981536 308.4995
1966 Q3 0.2330032 12.095369 307.1579
1966 Q4 0.2366042 12.196616 304.5857
1967 Q1 0.2375305 12.350543 305.2721
1967 Q2 0.2396611 12.418432 306.0368
1967 Q3 0.2405989 12.502261 309.9132
1967 Q4 0.2409463 12.557373 316.4311
1968 Q1 0.2427758 12.749319 324.7178
1968 Q2 0.2416295 12.932273 333.9916
1968 Q3 0.2437484 12.921088 340.7629
1968 Q4 0.2446863 12.968770 343.1123
1969 Q1 0.2480211 12.960808 348.4181
1969 Q2 0.2534284 13.059545 352.9906
1969 Q3 0.2522937 13.284660 361.0774
1969 Q4 0.2511358 13.341422 373.9223
1970 Q1 0.2499663 13.373774 387.5959
1970 Q2 0.2550611 13.566757 383.0352
1970 Q3 0.2521432 13.701751 397.2086
1970 Q4 0.2566937 13.605007 397.1257
1971 Q1 0.2561147 13.849673 406.3897
1971 Q2 0.2505105 14.007388 426.4395
1971 Q3 0.2553621 14.021154 423.3384
1971 Q4 0.2592642 14.123714 420.8851
1972 Q1 0.2560453 14.176971 436.2706
1972 Q2 0.2533937 14.269905 443.5043
1972 Q3 0.2590905 14.528430 441.5790
1972 Q4 0.2659684 15.066173 442.2018
1973 Q1 0.2688979 15.201807 457.0171
1973 Q2 0.2775242 15.308769 444.5718
1973 Q3 0.2811947 15.355505 449.7259
1973 Q4 0.3058463 15.502943 419.6022
1974 Q1 0.3586000 15.231956 331.9155
1974 Q2 0.3926768 15.074297 323.0116
1974 Q3 0.3940547 15.088234 338.8160
1974 Q4 0.3858337 14.985095 367.9955
1975 Q1 0.3888442 14.900876 364.5666
1975 Q2 0.3959189 15.555617 361.9980
1975 Q3 0.4211611 15.299437 340.4039
1975 Q4 0.4280274 15.411717 343.2835
1976 Q1 0.4231874 15.603689 357.5972
1976 Q2 0.4185211 15.692730 369.5532
1976 Q3 0.4257347 15.792029 370.2374
1976 Q4 0.4359242 15.864460 371.6233
1977 Q1 0.4450600 15.858121 369.0453
1977 Q2 0.4510811 15.991380 374.0904
1977 Q3 0.4482442 16.187838 384.4359
1977 Q4 0.4576232 16.465115 381.1114
1978 Q1 0.4599737 16.523167 383.0917
1978 Q2 0.4582600 16.673940 399.1835
1978 Q3 0.4693989 16.765575 399.1348
1978 Q4 0.4926726 16.854144 385.5518
1979 Q1 0.5160158 17.004979 379.6703
1979 Q2 0.5890442 16.842798 325.3022
1979 Q3 0.6802863 16.889512 287.0982
1979 Q4 0.7345221 16.988992 270.2868
1980 Q1 0.8464905 17.064308 235.5622
1980 Q2 0.8835895 16.711450 226.5723
1980 Q3 0.8786684 16.832551 228.6515
1980 Q4 0.8885221 17.144681 231.3817
1981 Q1 0.9747853 17.043922 221.9472
1981 Q2 0.9785716 17.045900 224.1111
1981 Q3 0.9635189 17.382035 230.7005
1981 Q4 0.9744611 17.378726 230.6283
1982 Q1 0.9507011 17.343936 242.2247
1982 Q2 0.8925400 17.429045 262.8254
1982 Q3 0.9332516 17.459505 250.4533
1982 Q4 0.9180368 17.445961 256.5656
1983 Q1 0.8673095 17.557141 281.9277
1983 Q2 0.8982253 17.658998 267.7320
1983 Q3 0.9127800 17.866779 272.9227
1983 Q4 0.8954232 18.228558 282.6979
1984 Q1 0.8940568 18.613782 283.6745
1984 Q2 0.8919263 18.921392 292.8175
1984 Q3 0.8634421 19.183037 306.6471
1984 Q4 0.8708295 19.322435 307.7502
1985 Q1 0.8730874 19.270174 308.5077
1985 Q2 0.8963726 19.621624 304.5264
1985 Q3 0.8899000 19.433056 308.5311
1985 Q4 0.8893095 19.583352 311.1410
1986 Q1 0.8361505 19.778955 340.0385
1986 Q2 0.6853000 19.943587 420.9417
1986 Q3 0.6412421 19.976594 455.6989
1986 Q4 0.6243716 19.928045 479.0554
1987 Q1 0.6960684 20.059585 429.2735
1987 Q2 0.7116653 19.801666 434.2793
1987 Q3 0.7426737 20.102419 411.7054
1987 Q4 0.7437853 20.326931 419.5965
1988 Q1 0.7275284 20.543553 433.1971
1988 Q2 0.7249926 20.682342 446.5294
1988 Q3 0.7376600 20.799742 440.9854
1988 Q4 0.7284895 20.934601 455.4632
1989 Q1 0.7465526 21.164895 454.3115
1989 Q2 0.8518400 21.047539 398.5816
1989 Q3 0.8084074 21.093832 421.1847
1989 Q4 0.7814516 21.177337 446.8071
1990 Q1 0.8376442 21.322348 419.4507
1990 Q2 0.8318200 21.379515 417.4152
1990 Q3 0.9087389 21.323650 387.6316
1990 Q4 1.0522600 21.101311 333.3645
1991 Q1 0.9322326 21.051860 373.9759
1991 Q2 0.8859168 21.129521 399.9029
1991 Q3 0.8769779 21.103695 407.1313
1991 Q4 0.8868663 21.148586 403.3692
1992 Q1 0.8739326 21.417141 419.0158
1992 Q2 0.8835316 21.504529 420.1621
1992 Q3 0.8996379 21.513991 421.3609
1992 Q4 0.9110547 21.756486 418.3126
1993 Q1 0.9119579 21.279035 417.0221
1993 Q2 0.8827905 21.515168 438.6853
1993 Q3 0.8566568 21.469503 458.0045
1993 Q4 0.8804979 21.706233 443.8538
1994 Q1 0.8669621 21.467684 453.6192
1994 Q2 0.8543874 21.797202 464.8362
1994 Q3 0.9067821 21.869860 439.2311
1994 Q4 0.9203179 22.105728 430.7305
1995 Q1 0.9114021 22.180355 447.8244
1995 Q2 0.9115526 22.099856 449.4504
1995 Q3 0.8982368 22.142697 452.1370
1995 Q4 0.8833811 22.191397 459.2937
1996 Q1 0.9235368 22.384696 447.5657
1996 Q2 0.9769853 22.506137 432.1061
1996 Q3 0.9476558 22.623719 445.2544
1996 Q4 0.9773442 22.666804 434.4248
1997 Q1 0.9975495 22.823315 432.3314
1997 Q2 0.9319432 22.943847 467.1332
1997 Q3 0.9453284 23.129145 461.8384
1997 Q4 0.9499021 23.360778 462.2297
1998 Q1 0.8678653 23.798509 520.9072
1998 Q2 0.8273505 24.078809 544.5158
1998 Q3 0.8248726 24.265270 546.9862
1998 Q4 0.8088126 24.379957 573.6371
1999 Q1 0.7837326 24.497758 603.0545
1999 Q2 0.8827095 24.463896 535.9177
1999 Q3 0.9547305 24.507508 484.7201
1999 Q4 1.0010579 24.789018 482.2817
2000 Q1 1.1050021 25.274081 433.4894
2000 Q2 1.1532400 25.379586 410.8838
2000 Q3 1.1881158 25.632567 396.2274
2000 Q4 1.1852211 25.598477 410.5937
2001 Q1 1.1549305 25.619739 428.2841
2001 Q2 1.2233158 25.448822 390.4107
2001 Q3 1.1214789 26.080079 431.4848
2001 Q4 0.9599642 25.640310 523.5292
2002 Q1 0.9361347 26.291981 531.7872
2002 Q2 1.0637463 26.353697 471.9123
2002 Q3 1.0756379 26.181920 470.4797
2002 Q4 1.1129453 26.129443 450.6425
2003 Q1 1.2758842 26.185228 396.0268
2003 Q2 1.1628737 26.449151 435.0240
2003 Q3 1.2328105 26.791066 416.1320
2003 Q4 1.2014316 26.837311 430.7189
2004 Q1 1.3137474 27.028588 398.1050
2004 Q2 1.4416947 27.126811 367.7264
2004 Q3 1.4440105 27.253215 366.6323
2004 Q4 1.5433579 27.683037 345.7690
2005 Q1 1.5608421 27.291750 339.1385
2005 Q2 1.5701053 27.401518 343.9690
2005 Q3 1.9302105 27.244632 283.5785
2005 Q4 1.9471158 27.673451 282.7405
2006 Q1 1.8980211 27.957639 287.1123
2006 Q2 2.0236526 27.982355 266.3621
2006 Q3 2.1342316 28.064079 254.3633
2006 Q4 1.8336421 28.387453 295.3544
2007 Q1 1.9211789 28.629852 285.5257
2007 Q2 2.1166316 28.523173 259.8372
2007 Q3 2.1410632 28.669343 258.3685
2007 Q4 2.3729895 28.635831 233.8017
2008 Q1 2.5117053 28.565035 219.4484
2008 Q2 2.6489158 29.273499 210.0522
