Bread Exp,Meat Exp,Family Size,Total Exp,Price Bread,Price Meat
79,8,7,99,11.5,8
68.5,16,7,96.5,11.5,8
68.5,8,6,88.5,11.5,8
32,21,5,75,11.5,3.3
53,12,4,75,11.5,8
48,20,5,78,11.5,8
56,18,5,90.5,13.5,8
98,12,7,124,13.5,8
50,12,3,81.25,13.5,8
95.5,0,8,120.25,13.5,8
49.5,0,7,60.5,13,7.5
61,12,6,85.5,13,7.5
37.5,8,5,58,13,7.5
37,8,4,65.5,13,7.5
43,12,5,68.5,13,7.5
43,8,4,61,13,7.5
59,30,4,106.25,13,7.5
59,30,7,108.5,13,7.5
50,10.5,4,70.75,13,7.5
41,22.5,4,80.25,13,7.5
58.5,15,6,88.5,13,7.5
54,18,6,104,12,7.5
74,8,6,99,11.5,8
40,0,4,69.75,11.5,8
58,8,5,84,11.5,8
95,4,9,113,11.5,8
75,0,8,107.25,11.5,8
79,4,5,89,11.5,8
98,8,9,115.25,14,8
84,24,8,162,14,8
48,12,5,87,14,8
59.5,18,4,109,22,10
87,12,6,113,22,10
117,36,8,183.5,22,10
78,18,4,114,22,10
